,1,2,3,4,5,6,7,8,9,10,11,12
1,0,28,20,6,8,6,1,1,0,0,0,0
2,27,0,7,0,16,1,0,0,0,0,0,0
3,21,6,0,12,6,8,8,6,0,0,0,0
4,4,2,5,0,25,3,1,2,0,0,0,0
5,5,14,1,31,0,4,2,2,0,0,0,0
6,4,1,8,1,5,0,3,0,2,0,0,0
7,0,0,3,4,3,4,0,9,0,0,0,0
8,0,0,1,3,4,0,9,0,4,0,0,0
9,0,0,0,0,0,1,0,2,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,6,0
11,0,0,0,0,0,0,0,0,0,6,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0
