,1,2,3,4,5,6,7,8,9,10,11,12
1,0,37,11,0,0,0,0,0,0,6,0,0
2,44,0,13,0,0,0,0,0,0,20,0,0
3,13,14,0,7,8,0,2,11,6,0,0,0
4,0,0,7,0,16,3,0,3,0,3,0,0
5,0,0,5,18,0,3,7,0,0,8,0,0
6,0,0,0,1,2,0,1,0,2,0,0,0
7,0,0,2,0,7,1,0,6,0,0,0,0
8,0,0,7,2,1,0,7,0,28,6,0,0
9,0,0,5,0,0,3,0,28,0,0,0,0
10,8,17,1,4,8,0,0,7,0,0,4,0
11,0,0,0,0,0,0,0,0,0,3,0,8
12,0,0,0,0,0,0,0,0,0,0,6,0
