,1,2,3,4,5,6,7,8,9,10,11
1,0,27,8,3,16,2,6,2,0,0,0
2,24,0,11,24,8,14,2,0,0,0,0
3,8,14,0,11,4,2,2,2,3,0,0
4,2,25,8,0,39,2,1,1,0,0,0
5,12,8,1,37,0,1,1,0,0,0,0
6,4,16,2,3,2,0,24,3,0,0,0
7,8,5,5,5,5,23,0,16,1,0,0
8,2,2,2,2,2,3,17,0,1,0,0
9,0,0,3,0,0,0,2,2,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0
