,1,2,3,4,5,6,7,8,9,10,11
1,0,16,17,4,0,9,0,0,0,8,0
2,15,0,0,0,0,0,5,0,0,0,0
3,12,2,0,0,0,0,0,0,0,1,0
4,5,0,0,0,3,6,0,0,0,6,0
5,0,0,0,3,0,0,1,0,0,0,0
6,10,1,0,3,0,0,19,1,0,6,0
7,0,7,0,0,3,22,0,0,0,0,0
8,0,0,0,0,0,1,1,0,4,0,0
9,0,0,0,0,0,0,0,4,0,0,0
10,8,1,1,6,0,5,0,0,0,0,6
11,0,0,0,0,0,0,0,0,0,7,0
