,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,34,0,0,9,0,24,13,0,4,2,3,0,0,0,0,0,0
4,0,0,33,0,0,0,0,0,2,2,0,0,0,7,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,7,0,0,0,0,26,4,2,17,16,0,0,4,0,0,0,0,0
8,0,0,0,0,0,0,24,0,0,0,2,7,0,0,0,0,0,0,0,0
9,0,0,20,1,0,0,3,0,0,48,0,0,12,8,0,0,0,0,0,0
10,0,0,7,1,0,0,2,0,44,0,0,0,5,4,0,0,0,0,0,0
11,0,0,0,0,0,0,18,2,0,0,0,1,0,0,0,0,0,0,0,0
12,0,0,4,0,0,0,16,6,0,0,1,0,0,0,0,0,0,0,0,0
13,0,0,3,0,0,0,0,0,13,7,0,0,0,0,0,0,0,0,0,0
14,0,0,3,10,0,0,0,0,7,5,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
